"Country","NOGOD","IQ","INCOME","INCOME.K","OPEN","OPEN.L","MUSLIM","M","LA","AF","INT1","INT2"
"Albania",0.01,88.5,15293.33,1.529333,74.53567,0.431127780274753,63.61,1,0,0,0.434726521221363,0
"Algeria",0.018,79.5,10978.41,1.097841,52.97005,0.396972665948652,94.51,1,0,1,0.18993285640052,0.250115672464439
"Angola",0.052,69.7,5327.79,0.532779,60.473064,0.410219804275505,0.24,0,0,1,0.0477669424255399,0.26273923713994
"Argentina",0.121,83.1,22047.97,2.204797,32.97948,0.349588554987556,0.87,0,1,0,0.59408916346821,0
"Armenia",0.013,89.7,15388.3,1.53883,79.16676,0.437155651375326,0.04,0,0,0,0.452536364063078,0
"Australia",0.286,99.1,49257.14,4.925714,39.870045,0.36856252900608,3.05,0,0,0,3.29579918868914,0
"Austria",0.145,98.7,56529.66,5.652966,111.22229,0.471153081136942,8.02,0,0,0,7.09376533794188,0
"Azerbaijan",0.01,84.7,15018.06,1.501806,76.57071,0.43382146276431,96.28,1,0,0,0.424472675693534,0
"Bahrain",0.02,91.2,48731.44,4.873144,159.81,0.507398560959702,70.94,1,0,0,6.11388058677462,0
"Bangladesh",0.01,66.1,6511.12,0.651112,27.724005,0.332229864440488,86.32,1,0,0,0.0467938455123646,0
"Belgium",0.31,100,53644.04,5.364404,172.67445,0.51514080297955,7.51,0,0,0,7.63650879960672,0
"Benin",0.052,64.1,3406.07,0.340607,62.738262,0.413897150075308,22.31,0,0,1,0.019874307743262,0.26628006485624
"Bolivia",0.041,80.4,7987.84,0.798784,59.018333,0.407784812445308,0.02,0,1,0,0.10610132515583,0
"BosniaandHerzegovina",0.024,84.7,16571.41,1.657141,97.23393,0.457711972462829,61.2,1,0,0,0.575312049371656,0
"Botswana",0.175,78.6,14841.58,1.484158,94.479485,0.454838272098517,0.33,0,0,1,0.455695014015093,0.306750656954764
"Brazil",0.084,83.4,14615.89,1.461589,39.17612,0.366806737749518,0.69,0,1,0,0.287425397484868,0
"Bulgaria",0.047,88.9,25920.81,2.592081,120.97408,0.479557630777342,13.01,0,0,0,1.54517882946067,0
"Burundi",0.01,76.7,712.03,0.071203,28.81866,0.336102309400118,8.71,0,0,1,0.000572716344583589,0.194853066483772
"Cambodia",0.01,73.4,4291.11,0.429111,132.21391,0.488442114124702,1.82,0,0,0,0.0439304346040631,0
"Cameroon",0.052,63.3,3681.47,0.368147,37.069878,0.361280472608628,26.17,0,0,1,0.0176901497104343,0.2171534494974
"Canada",0.245,101.8,48444.39,4.844439,61.37328,0.411697456128207,4.54,0,0,0,3.97780372855856,0
"CentralAfricanRepublic",0.01,64.6,869.11,0.086911,44.68553,0.379964973556642,14.57,0,0,1,0.00109052749917358,0.234215345234477
"Chad",0.024,60.3,1388.9,0.13889,82.98478,0.441865721748765,48.72,0,0,1,0.00376636651223205,0.293721317744212
"Chile",0.097,89,24431,2.4431,64.432236,0.416561406687865,0.02,0,1,0,1.03571567687246,0
"China",0.518,107.6,18024.89,1.802489,37.46896,0.362351285688264,3.51,0,0,0,0.426584291816582,0
"Colombia",0.067,84.7,15013.93,1.501393,40.851185,0.37099358294532,0.18,0,1,0,0.310256985737019,0
"Congo",0.08,62.8,2902.81,0.290281,95.61488,0.456032845648094,1.73,0,0,1,0.0175238476384217,0.307959911114954
"CostaRica",0.08,85.7,20248.38,2.024838,70.60613,0.42571169679254,0.02,0,1,0,0.743039208511787,0
"Croatia",0.051,94.7,34323.81,3.432381,104.02653,0.464464596276373,1.61,0,0,0,2.54153567207692,0
"Cyprus",0.019,92.5,40136.89,4.013689,170.31247,0.513763480871076,21.68,0,0,0,4.25220210177552,0
"DemocraticRepublicofCongo",0.017,67.9,1080.14,0.108014,80.48131,0.438802498355494,12.11,0,0,1,0.00224645788799531,0.290672293521571
"Denmark",0.12,99.7,62018.96,6.201896,112.18025,0.472010695263895,5.28,0,0,0,8.56944384651715,0
"DominicanRepublic",0.109,73.8,18653.27,1.865327,52.734867,0.396527684968121,0.02,0,1,0,0.54708773944393,0
"Ecuador",0.056,82.6,10693.23,1.069323,51.38601,0.393936595642537,0.01,0,1,0,0.177447739476549,0
"Egypt",0.01,78.5,12360.82,1.236082,31.3736,0.344596677494243,78.61,1,0,1,0.181433189789526,0.202286373523055
"ElSalvador",0.112,77.7,8886.17,0.888617,84.368416,0.44351931135554,0.28,0,1,0,0.155329628433691,0
"Estonia",0.602,103.6,37151.63,3.715163,156.95805,0.505597857219248,0.11,0,0,0,3.52830560901393,0
"Ethiopia",0.01,67.5,2368.76,0.236876,24.255514,0.318864397297955,26.75,0,0,1,0.00570498075025563,0.18005660053223
"Finland",0.208,101.7,49522.1,4.95221,78.60459,0.436443009467669,1.84,0,0,0,4.67146596578889,0
"France",0.319,98.6,47378.74,4.737874,60.83967,0.410824204331327,8.82,0,0,0,3.78860265469392,0
"Gabon",0.057,77,11194.22,1.119422,72.64559,0.428559268617798,8.53,0,0,1,0.230149194942376,0.280553918122128
"Gambia",0.01,67.8,2089.63,0.208963,42.092796,0.373987660965671,80.34,1,0,1,0.00610735741659854,0.228710398466111
"Georgia",0.01,82.9,15952.02,1.595202,102.8212,0.463299155744041,14.18,0,0,0,0.546203386592231,0
"Germany",0.263,99.7,55340.19,5.534019,88.742775,0.448574201659097,5.53,0,0,0,6.16239989573381,0
"Ghana",0.038,68.7,5380.27,0.538027,58.43001,0.406782962771129,18.52,0,0,1,0.0478997946338138,0.259444299427448
"Greece",0.061,92.2,31381.67,3.138167,89.4609,0.449380165831627,3.04,0,0,0,1.98874867226906,0
"Guatemala",0.039,76.7,8996.42,0.899642,49.861553,0.390925022482254,0.01,0,1,0,0.123687663143263,0
"Guinea",0.018,64.6,2404.17,0.240417,132.3825,0.488569545954041,72.71,1,0,1,0.0137969513306815,0.341499119963588
"Haiti",0.107,76.4,2801.71,0.280171,37.04654,0.361217496006679,0.04,0,1,0,0.0102419798228276,0
"Honduras",0.105,77.8,5271.6,0.52716,100.38068,0.460896975846166,0.28,0,1,0,0.0590326957221304,0
"HongKong",0.547,104.7,62485.5,6.24855,402.22324,0.599700725786714,3.95,0,0,0,14.041957283623,0
"Hungary",0.203,96.6,34195.54,3.419554,162.79185,0.509247239089026,0.6,0,0,0,3.03246850390313,0
"Iceland",0.039,97.3,54688.38,5.468838,78.180885,0.435902518033144,0.26,0,0,0,5.68288506977523,0
"India",0.01,76.5,6950.53,0.695053,45.290264,0.381309208665248,13.87,0,0,0,0.0702409588940921,0
"Indonesia",0.01,82.5,12045.57,1.204557,40.422768,0.369939319058079,84.35,1,0,0,0.198570942513032,0
"Iran",0.01,85.7,14770.32,1.477032,44.373833,0.379264994885822,91.86,1,0,0,0.313808952792244,0
"Iraq",0.01,81.1,9091.86,0.909186,61.821354,0.412424883876111,85.23,1,0,0,0.140603198698877,0
"Ireland",0.079,99.2,87467.52,8.746752,229.44603,0.543566783844666,1.39,0,0,0,22.6047363582415,0
"Israel",0.032,93.8,43588.26,4.358826,54.962925,0.400665886702195,16.29,0,0,0,3.05002781926166,0
"Italy",0.134,96.1,44284.16,4.428416,62.983124,0.414286681749128,5.09,0,0,0,3.36588107018859,0
"Jamaica",0.17,82.4,9694.52,0.969452,73.356575,0.429533213929015,0.2,0,0,0,0.173398814920522,0
"Japan",0.6,103.8,43643.86,4.364386,37.379986,0.362113542749551,0.15,0,0,0,2.49767451601332,0
"Jordan",0.01,86.6,9294.8,0.92948,81.44389,0.439991431688742,89.29,1,0,0,0.167250928339108,0
"Kazakhstan",0.04,85.9,22586.8,2.25868,57.5439,0.405254813476291,66.36,1,0,0,0.837849040289326,0
"Kenya",0.023,82.4,4807.72,0.480772,30.669174,0.342325804590826,9.79,0,0,1,0.0270867942137535,0.200290087541954
"Kyrgyzstan",0.01,73.8,4781.69,0.478169,108.39425,0.468577504331821,85.53,1,0,0,0.0502025415366243,0
"Latvia",0.453,98.3,32082.98,3.208298,130.36601,0.487034595600576,0.11,0,0,0,2.44156912457931,0
"Lebanon",0.01,82.6,12313.42,1.231342,78.82863,0.436727625575043,68.35,1,0,0,0.289186966182101,0
"Lesotho",0.028,69.9,2708.73,0.270873,132.232,0.488455795561505,0.13,0,0,1,0.0175058002737631,0.341379863458134
"Lithuania",0.098,96.7,38131.23,3.813123,156.46506,0.505283272626831,0.11,0,0,0,3.71220089798455,0
"Madagascar",0.073,67.3,1463.55,0.146355,50.415737,0.392030336840341,8.27,0,0,1,0.0032919594694237,0.245459312561229
"Malaysia",0.01,90.3,27295.41,2.729541,130.5698,0.487190794967335,57.87,1,0,0,1.76838732131727,0
"Mali",0.01,67.4,2043.67,0.204367,69.8036,0.424568558436957,72.9,1,0,1,0.00752865156492377,0.276644311081106
"Malta",0.025,94.1,44464.03,4.446403,287.67343,0.566182591314705,2.18,0,0,0,6.33768527246464,0
"Mauritania",0.01,68.8,5343.56,0.534356,100.39302,0.460909268292852,83.25,1,0,1,0.0606585833074605,0.312912679840623
"Mauritius",0.01,87.2,23251.62,2.325162,97.78829,0.458280483572074,18.13,0,0,1,1.13545299123093,0.310239465871292
"Mexico",0.057,86.5,19138.01,1.913801,83.61527,0.442622615891356,0,0,1,0,0.717564187118307,0
"Moldova",0.013,88.1,12963.62,1.296362,88.61247,0.448427259262839,0.45,0,0,0,0.33793766119146,0
"Montenegro",0.031,87.8,22513.26,2.251326,105.02999,0.465424592842379,19.62,0,0,0,1.09793196406474,0
"Morocco",0.01,80.2,7954.52,0.795452,74.95168,0.431684363924069,95.18,1,0,1,0.117912702389817,0.283628244860977
"Mozambique",0.173,72.3,1219.24,0.121924,100.21721,0.460733993038933,16.75,0,0,1,0.0031555779743334,0.312734204470391
"Myanmar",0.01,83.5,4037.7,0.40377,53.10431,0.397225809256227,4.35,0,0,0,0.0257242672403446,0
"Namibia",0.019,67.9,9200.03,0.920003,79.7277,0.437861707873847,0.36,0,0,1,0.162275299900069,0.289737994718121
"Nepal",0.01,65.3,4025.55,0.402555,43.81123,0.377989017721347,4.14,0,0,0,0.0231530822247238,0
"Netherlands",0.443,101.2,57278.31,5.727831,155.70009,0.504793165687447,2.19,0,0,0,8.36002014735723,0
"NewZealand",0.396,99.7,43665.5,4.36655,49.101246,0.389388441126057,0.78,0,0,0,2.89096601254799,0
"Nicaragua",0.13,76.1,5426.51,0.542651,106.2323,0.466562820569187,0.01,0,1,0,0.0641005079410354,0
"Niger",0.01,55,1283.31,0.128331,37.511105,0.362463702247088,74.73,1,0,1,0.00216367586668528,0.218221121349382
"Nigeria",0.01,68.7,4754.84,0.475484,22.576538,0.31169112254431,42.33,0,0,1,0.0219644676205487,0.174014985471757
"Norway",0.116,98.9,69189.76,6.918976,70.88756,0.426109495975136,3.18,0,0,0,8.69212721130024,0
"Oman",0.01,83.6,32967.44,3.296744,93.916145,0.454240230966669,51.49,1,0,0,2.24254744940318,0
"Pakistan",0.01,61.6,5374.27,0.537427,27.050144,0.329769232875337,98.19,1,0,0,0.0314093703676914,0
"Panama",0.05,78.1,32029.36,3.202936,92.69809,0.45293478682603,0.55,0,1,0,2.1045918097293,0
"Paraguay",0.011,75.6,13161.08,1.316108,70.80108,0.425987425482062,0.01,0,1,0,0.314323330222281,0
"Peru",0.031,84.7,11916.36,1.191636,55.5036,0.401644788351362,0,0,1,0,0.229071733369199,0
"Philippines",0.01,77.5,9058.84,0.905884,63.50157,0.415106463000245,10.08,0,0,0,0.141404805419772,0
"Poland",0.073,101.5,35150.95,3.515095,112.445595,0.472246950467228,0.02,0,0,0,2.75557640930113,0
"Portugal",0.086,98.3,35315,3.5315,86.17108,0.445633462253741,0.64,0,0,0,2.47670345273066,0
"Qatar",0.01,86.9,95944.38,9.594438,93.04582,0.453309205999433,57.24,1,0,0,18.9159500914808,0
"RepublicofMacedonia",0.013,84.9,16395.75,1.639575,148.46896,0.500037591282526,33.88,0,0,0,0.67215260207299,0
"Romania",0.01,88.6,31641.38,3.164138,87.35839,0.447001908233959,1.02,0,0,0,2.00045868840173,0
"Russia",0.152,96.9,26991.85,2.699185,52.167007,0.395445024525248,11.11,0,0,0,1.13929852422067,0
"Rwanda",0.03,68.3,2316.81,0.231681,53.85225,0.398624418545933,4,0,0,1,0.00852920662647598,0.251678344257791
"SaudiArabia",0.01,81.3,50620.44,5.062044,59.116486,0.40795098364431,84.15,1,0,0,4.26449687831318,0
"Senegal",0.01,70.2,3463.81,0.346381,63.263584,0.414730987134696,95.61,1,0,1,0.0206367400782611,0.267085141586749
"Serbia",0.033,91,19494.01,1.949401,116.76251,0.47601420428429,1.71,0,0,0,0.861077405508856,0
"SierraLeone",0.01,69.1,1612.67,0.161267,58.39083,0.406715885695722,67.58,1,0,1,0.00430202851989766,0.259380129898501
"Singapore",0.165,108.6,88761.15,8.876115,338.30975,0.582396189594481,15.12,0,0,0,26.7228571740977,0
"Slovakia",0.158,95.7,32171.25,3.217125,187.82748,0.523552388194817,0.19,0,0,0,2.8369792613092,0
"Slovenia",0.188,100.7,41586.9,4.15869,160.92023,0.50809087763622,3.47,0,0,0,4.46473710185809,0
"SouthAfrica",0.153,75.2,13185.56,1.318556,56.21798,0.402923663455895,1.72,0,0,1,0.282255690617763,0.255760905572661
"SouthKorea",0.466,102.9,46026.45,4.602645,80.49234,0.438816202461746,0.14,0,0,0,4.0792494898363,0
"Spain",0.21,96.8,40043.34,4.004334,68.381775,0.422510634175668,2.49,0,0,0,2.86243660927763,0
"SriLanka",0.01,70.7,11899.5,1.18995,41.058666,0.371500192202258,9.59,0,0,0,0.195422926323309,0
"Sweden",0.29,99.7,56995.85,5.699585,86.68557,0.446228743394833,6.56,0,0,0,6.46846976775786,0
"Switzerland",0.228,100.3,69432.79,6.943279,130.85081,0.487405781925122,4.97,0,0,0,11.4527712640115,0
"Tajikistan",0.015,79.6,4807.21,0.480721,71.83,0.427430221608671,89.56,1,0,0,0.0422198455848802,0
"Tanzania",0.016,82.3,2578.16,0.257816,31.383276,0.344627513956137,27.98,0,0,1,0.00789440906468041,0.202313526725636
"Thailand",0.01,87.7,16886.51,1.688651,116.657196,0.475923968537745,5.06,0,0,0,0.645884641755436,0
"Togo",0.062,67.7,2214.23,0.221423,57.54194,0.405251407323109,17.2,0,0,1,0.00805182865892023,0.25798045094399
"Tunisia",0.01,80.8,10296.65,1.029665,94.35217,0.454703427102013,81.1,1,0,1,0.219203940136387,0.306614254431416
"Turkey",0.012,93.6,32833.54,3.283354,70.83492,0.426035209944549,97.84,1,0,0,1.95670973200454,0
"Uganda",0.01,72.2,2240.59,0.224059,41.71363,0.373082793391134,10.89,0,0,1,0.00698771568684896,0.227880849472203
"Ukraine",0.125,93.6,11416.22,1.141622,82.6213,0.441426751653377,1.08,0,0,0,0.253958034311916,0
"UnitedKingdom",0.312,100,46623.9,4.66239,56.670334,0.403725086393511,3.13,0,0,0,3.54314290894115,0
"UnitedStates",0.186,98,65564.94,6.556494,25.4814,0.323794877424948,1.01,0,0,0,4.50695564201922,0
"Uruguay",0.415,87.7,22206.99,2.220699,56.805923,0.403964059845953,0.03,0,1,0,0.804757162042185,0
"Uzbekistan",0.01,82.5,8055.91,0.805591,63.882538,0.415704605330271,83.87,1,0,0,0.112149898006395,0
"Vietnam",0.299,101,10813.98,1.081398,186.46819,0.522826066153367,0.1,0,0,0,0.319658007120029,0
"Zambia",0.01,66.8,3157.36,0.315736,85.99218,0.445425636188655,0.8,0,0,1,0.019778740079596,0.29727802938111
"Zimbabwe",0.076,76.7,2078.92,0.207892,56.31268,0.403091973181184,0.59,0,0,1,0.00702237237164928,0.255921177406125
